DATA_NUM	not	root	aerial
79894	0	1	0
80244	0	1	0
80245	0	1	0
80246	0	0.75	0.25
80247	0	0	1
80248	0	1	0
80249	0	0	1
80250	0	1	0
80251	0	1	0
80258	0	1	0
80259	0	1	0
80260	0	1	0
80261	0	1	0
81036	0	0	1
377616	0	1	0
377617	0	1	0
377618	0	1	0
377619	0	1	0
377620	0	1	0
377621	0	1	0
377622	0	1	0
377624	0	1	0
377625	0	0	1
377626	0	0	1
377627	0	0.25	0.75
377628	0	0	1
377629	0	0	1
377632	0	0	1
377634	0	0	1
377635	0	0	1
377636	0	0	1
377637	0	0	1
377638	0	1	0
377639	0	1	0
377640	0	1	0
377641	0	1	0
377642	0	1	0
377643	0	1	0
377644	0	1	0
377645	0	1	0
377646	0	1	0
377647	0	1	0
377648	0	1	0
377649	0	1	0
377650	0	1	0
377651	0	1	0
377652	0	1	0
377653	0	1	0
377654	0	0	1
377655	0	0	1
377656	0	0	1
377657	0	0	1
377658	0	0	1
377659	0	0	1
377662	0	0	1
377663	0	0	1
K01	0	1	0
K02	0	1	0
K03	0	1	0
K04	0	0	1
K05	0.5	0.5	0
K06	0	0	1
K07	0	1	0
K08	0	1	0
K09	1	0	0
K10	0	1	0
K11	0	1	0
K13	0	1	0
K14	0.5	0.5	0
K15	0	1	0
K16	0	0.75	0.25
K17	0	0	1
K18	0	0	1
K19	0	0.75	0.25
K20	0	1	0
K21	0	1	0
K22	0	1	0
K23	0	1	0
K24	0.5	0.5	0
K25	0	0	1
K26	0	0	1
K27	1	0	0
K28	0	1	0
K29	1	0	0
K30	0	0	1
K31	0	1	0
K32	0	1	0
K33	0	1	0
K34	1	0	0
K36	0	0	1
K37	0	1	0
K38	0	1	0
K39	0	1	0
K40	0	0	1
K41	0	0	1
K42	0	1	0
K43	0	1	0
K44	0	1	0
K45	0	1	0
K46	1	0	0
K47	1	0	0
K48	1	0	0
K49	0	0	1
K50	0	1	0
K51	0	1	0
K52	0	0	1
K53	0	1	0
K54	0	0	1
K55	0	0	1
K56	0	1	0
K57	0	1	0
K58	0	0	1
K59	0	1	0
K60	0	1	0
K61	0	1	0
K62	0	0	1
K63	1	0	0
K64	1	0	0
M01	0	0	1
M03	0	0	1
M04	0	0	1
M05	0	0	1
M06	0	0	1
M07	0	0	1
M08	0	0	1
M09	0	0	1
M10	0	0	1
M11	0	0	1
M12	0	0	1
M13	0	0	1
M14	0	0	1
M15	0	0	1
M16	0	0	1
M17	0	0	1
M18	0	0	1
M19	0	0	1
M20	0	0	1
M21	0	1	0
M22	0	1	0
M23	0	1	0
M24	0	1	0
M25	0	0	1
M26	0	0	1
M27	0	0	1
M30	0	0	1
M31	0	0	1
M32	0	0	1
M33	0	0	1
M34	0	0	1
M35	0	0	1
M36	0	0.25	0.75
M37	0	0.75	0.25
M38	0	1	0
M39	0	0	1
M40	0	0	1
M41	0	0	1
M42	0	0	1
M45	0	1	0
M46	0	1	0
M47	0	1	0
M48	0	1	0
M49	0	1	0
M50	0	1	0
M51	0	0	1
M53	0	0	1
M54	0	0	1
M55	0	0	1
M56	0	0	1
M57	0	0	1
M58	0	0	1
M59	0	0	1
M62	0	1	0
M63	0	1	0
M64	0	0	1
M65	0	0	1
M66	0	0	1
M67	0	0	1
M68	0	0	1
M69	0	0	1
M71	0	0	1
M72	0	0	1
M73	0	0	1
M74	0	0	1
M75	0	0	1
M76	0	0	1
M77	0	0	1
M78	0	0	1
M79	0	0	1
M80	0	0	1
M81	0	0	1
M83	0	0	1
M84	0	0	1
M85	0	0	1
M86	0	0	1
M88	0	0	1
