DATA_NUM	not	hemi	holo
79894	0	1	0
80244	0	1	0
80245	0	1	0
80246	0	1	0
80247	0	1	0
80248	0	1	0
80249	0	1	0
80250	0	1	0
80251	0	1	0
80258	0	1	0
80259	0	1	0
80260	0	1	0
80261	0	1	0
81036	0	1	0
377616	0	1	0
377617	0	1	0
377618	0	1	0
377619	0	1	0
377620	0	1	0
377621	0	1	0
377622	0	1	0
377624	0	1	0
377625	0	1	0
377626	0	1	0
377627	0	1	0
377628	0	1	0
377629	0	1	0
377632	0	1	0
377634	0	1	0
377635	0	1	0
377636	0	1	0
377637	0	1	0
377638	0	1	0
377639	0	1	0
377640	0	1	0
377641	0	1	0
377642	0	1	0
377643	0	1	0
377644	0	1	0
377645	0	1	0
377646	0	1	0
377647	0	1	0
377648	0	1	0
377649	0	1	0
377650	0	1	0
377651	0	1	0
377652	0	1	0
377653	0	1	0
377654	0	1	0
377655	0	1	0
377656	0	1	0
377657	0	1	0
377658	0	1	0
377659	0	1	0
377662	0	1	0
377663	0	1	0
K01	0	1	0
K02	0	1	0
K03	0	1	0
K04	0	1	0
K05	0.5	0.5	0
K06	0	1	0
K07	0	1	0
K08	0	0	1
K09	1	0	0
K10	0	1	0
K11	0	1	0
K13	0	1	0
K14	0.5	0.5	0
K15	0	1	0
K16	0	1	0
K17	0	1	0
K18	0	1	0
K19	0	1	0
K20	0	1	0
K21	0	1	0
K22	0	1	0
K23	0	0	1
K24	0.5	0.5	0
K25	0	1	0
K26	0	1	0
K27	1	0	0
K28	0	1	0
K29	1	0	0
K30	0	1	0
K31	0	1	0
K32	0	1	0
K33	0	1	0
K34	1	0	0
K36	0	1	0
K37	0	1	0
K38	0	1	0
K39	0	1	0
K40	0	1	0
K41	0	1	0
K42	0	1	0
K43	0	1	0
K44	0	1	0
K45	0	1	0
K46	1	0	0
K47	1	0	0
K48	1	0	0
K49	0	1	0
K50	0	1	0
K51	0	1	0
K52	0	1	0
K53	0	1	0
K54	0	1	0
K55	0	1	0
K56	0	1	0
K57	0	0	1
K58	0	1	0
K59	0	0	1
K60	0	0	1
K61	0	1	0
K62	0	1	0
K63	1	0	0
K64	1	0	0
M01	0	1	0
M03	0	1	0
M04	0	1	0
M05	0	1	0
M06	0	1	0
M07	0	1	0
M08	0	1	0
M09	0	1	0
M10	0	1	0
M11	0	1	0
M12	0	1	0
M13	0	1	0
M14	0	1	0
M15	0	1	0
M16	0	1	0
M17	0	1	0
M18	0	1	0
M19	0	1	0
M20	0	1	0
M21	0	1	0
M22	0	1	0
M23	0	1	0
M24	0	1	0
M25	0	1	0
M26	0	1	0
M27	0	1	0
M30	0	1	0
M31	0	1	0
M32	0	1	0
M33	0	1	0
M34	0	1	0
M35	0	1	0
M36	0	1	0
M37	0	1	0
M38	0	1	0
M39	0	1	0
M40	0	1	0
M41	0	1	0
M42	0	1	0
M45	0	1	0
M46	0	1	0
M47	0	1	0
M48	0	1	0
M49	0	1	0
M50	0	1	0
M51	0	1	0
M53	0	1	0
M54	0	1	0
M55	0	1	0
M56	0	1	0
M57	0	1	0
M58	0	1	0
M59	0	1	0
M62	0	1	0
M63	0	1	0
M64	0	1	0
M65	0	1	0
M66	0	1	0
M67	0	1	0
M68	0	1	0
M69	0	1	0
M71	0	1	0
M72	0	1	0
M73	0	1	0
M74	0	1	0
M75	0	1	0
M76	0	1	0
M77	0	1	0
M78	0	1	0
M79	0	1	0
M80	0	1	0
M81	0	1	0
M83	0	1	0
M84	0	1	0
M85	0	1	0
M86	0	1	0
M88	0	1	0
