79894	Spirogardnera_rubescens
80244	Anthobolus_filifolius
80245	Choretrum_glomeratum2
80246	Exocarpos_cupressiformis
80247	Korthalsella_rubra
80248	Leptomeria_acida2
80249	Notothixos_subaureus2
80250	Omphacomeria_acerba
80251	Thesium_australe
80258	Choretrum_pauciflorum2
80259	Exocarpos_latifolius
80260	Exocarpos_odoratus
80261	Leptomeria_axillaris2
81036	Viscum_whitei_ssp_whitei
377616	Choretrum_candollei
377617	Choretrum_chrysanthum
377618	Choretrum_glomeratum
377619	Choretrum_lateriflorum
377620	Choretrum_pauciflorum
377621	Choretrum_pritzelii
377622	Choretrum_spCoxsGap
377624	Choretrum_spicatum_ssp_spicatum
377625	Dendromyza_cuneata
377626	Dendromyza_reinwardtiana
377627	Dendrotrophe_varians
377628	Korthalsella_arthroclada
377629	Korthalsella_breviarticulata
377632	Korthalsella_rubra_ssp_rubra
377634	Korthalsella_leucothrix2
377635	Korthalsella_papuana
377636	Korthalsella_rubra_ssp_geijericola
377637	Korthalsella_rubra_ssp_rubra2
377638	Leptomeria_acida
377639	Leptomeria_aphylla
377640	Leptomeria_axillaris
377641	Leptomeria_cunninghamii
377642	Exocarpus_strictus
377643	Leptomeria_ellytes
377644	Leptomeria_empetriformis
377645	Leptomeria_ericoides
377646	Leptomeria_furtiva
377647	Leptomeria_glomerata
377648	Leptomeria_lehmannii
377649	Leptomeria_pachyclada
377650	Leptomeria_lehmannii2
377651	Leptomeria_preissiana
377652	Leptomeria_scrobiculata
377653	Leptomeria_squarrulosa
377654	Notothixos_cornifolius
377655	Notothixos_incanus
377656	Notothixos_leiophyllus
377657	Notothixos_subaureus
377658	Viscum_articulatum
377659	Viscum_bancroftii
377662	Viscum_whitei
377663	Viscum_whitei_ssp_flexicaule
K01	Agonandra_racemosa_PAFTOL
K02	Amphorogyne_spicata_PAFTOL
K03	Anthobolus_filifolius2_PAFTOL
K04	Antidaphne_viscoidea_PAFTOL
K05	Aptandra_tubicina_PAFTOL
K06	Arceuthobium_sichuanense2_SRR
K07	Atkinsonia_ligustrina_PAFTOL
K08	Balanophora_fungosa_SRR
K09	Brachynema_ramiflorum_PAFTOL
K10	Buckleya_lanceolata_PAFTOL
K11	Cansjera_leptostachya_PAFTOL
K13	Champereia_manillana_PAFTOL
K14	Chaunochiton_kappleri_PAFTOL
K15	Choretrum_glomeratum3_PAFTOL
K16	Daenikera_sp_oneKP
